Week,ML
2015-01-04,42
2015-01-11,44
2015-01-18,37
2015-01-25,37
2015-02-01,40
2015-02-08,46
2015-02-15,41
2015-02-22,41
2015-03-01,33
2015-03-08,43
2015-03-15,42
2015-03-22,35
2015-03-29,29
2015-04-05,29
2015-04-12,38
2015-04-19,33
2015-04-26,40
2015-05-03,40
2015-05-10,45
2015-05-17,48
2015-05-24,42
2015-05-31,43
2015-06-07,47
2015-06-14,44
2015-06-21,39
2015-06-28,39
2015-07-05,34
2015-07-12,37
2015-07-19,33
2015-07-26,38
2015-08-02,39
2015-08-09,37
2015-08-16,38
2015-08-23,39
2015-08-30,34
2015-09-06,43
2015-09-13,48
2015-09-20,48
2015-09-27,49
2015-10-04,54
2015-10-11,58
2015-10-18,56
2015-10-25,56
2015-11-01,58
2015-11-08,57
2015-11-15,68
2015-11-22,51
2015-11-29,60
2015-12-06,57
2015-12-13,48
2015-12-20,31
2015-12-27,35
2016-01-03,52
2016-01-10,46
2016-01-17,61
2016-01-24,62
2016-01-31,62
2016-02-07,60
2016-02-14,59
2016-02-21,61
2016-02-28,59
2016-03-06,64
2016-03-13,64
2016-03-20,56
2016-03-27,46
2016-04-03,65
2016-04-10,67
2016-04-17,68
2016-04-24,59
2016-05-01,66
2016-05-08,68
2016-05-15,73
2016-05-22,70
2016-05-29,55
2016-06-05,64
2016-06-12,71
2016-06-19,61
2016-06-26,62
2016-07-03,66
2016-07-10,70
2016-07-17,69
2016-07-24,75
2016-07-31,56
2016-08-07,66
2016-08-14,70
2016-08-21,74
2016-08-28,61
2016-09-04,81
2016-09-11,82
2016-09-18,89
2016-09-25,93
2016-10-02,100
2016-10-09,80
